for_VARxts,AAPL,Date
0.001116173051720848,-0.0011149285984647372,2018-05-24
0.0034042136353888974,0.0011680128256259525,2018-05-25
-2.1397693241198557e-4,-0.002442114191546385,2018-05-29
0.0019189210521119993,-0.0045657283477222865,2018-05-30
0.005296765375358614,-0.007910434229085106,2018-05-31
0.02342634313450076,0.009980964158098127,2018-06-01
0.014943674669347429,0.01842215541716974,2018-06-04
0.022774107789302223,0.02627942550506157,2018-06-05
0.026319006599939465,0.02983647362267372,2018-06-06
0.023567816103815087,0.027075854068156158,2018-06-07
0.01425585713504618,0.017731980550032445,2018-06-08
0.016748644685134595,0.015236782131324178,2018-06-11
0.022331354518138946,0.02081119070915638,2018-06-12
0.01393067078051935,0.012422998435612786,2018-06-13
0.014462383600814643,0.012953920621264547,2018-06-14
0.024991680280219697,0.002548282645869593,2018-06-15
0.024448954387242372,0.0020174403742494462,2018-06-18
0.04127573784414329,-0.014174937760022766,2018-06-19
0.03675335830307658,-0.009874710462141612,2018-06-20
0.042567118723743524,-0.015396034812810933,2018-06-21
0.0395314740481445,-0.018262908063286232,2018-06-22
0.024072305864215604,-0.03286259955463611,2018-06-25
0.03677688136195045,-0.02086435485035021,2018-06-26
0.035259146463300306,-0.022297708897754953,2018-06-27
0.027780751829212358,-0.015183697904163629,2018-06-28
0.02994607583579545,-0.01725414259154401,2018-06-29
0.04146336784543525,-0.006264663359000555,2018-07-02
0.059923347181706,-0.023571890177705668,2018-07-03
0.05146228072552361,-0.015714620089814058,2018-07-05
0.06603766310961467,-0.0020704446873810456,2018-07-06
0.051438252768871706,0.011785987709668877,2018-07-09
0.05016929493699274,0.010564885329278573,2018-07-10
0.06397552347643765,-0.002548282645870703,2018-07-11
0.046431034702742124,0.014175017674053159,2018-07-12
0.04807437702794859,0.015767704316975717,2018-07-13
0.05038013429104682,0.013537927034077635,2018-07-16
0.05335113033706862,0.016404715042919626,2018-07-17
0.04757409143758795,0.010830306465088979,2018-07-18
0.055717062436561715,0.018687661794613453,2018-07-19
0.05329619931173735,0.016351710729789026,2018-07-20
0.05236171095844533,0.01725422250557429,2018-07-23
0.04478258081132336,0.024633654634976798,2018-07-24
0.05463504719410284,0.034296113430103636,2018-07-25
0.05133282005959883,0.031057570675462776,2018-07-26
0.03384755780365589,0.013909516624212026,2018-07-27
0.02805527496646243,0.008228939592056284,2018-07-30
0.030112305846250242,0.010246300052275004,2018-07-31
0.0907963954013351,0.0697600798577711,2018-08-01
0.12268121062253523,0.1010299874418823,2018-08-02
0.12592922273630758,0.10421536072772764,2018-08-03
0.13177571516186548,0.10994910190107632,2018-08-06
0.1424863806889547,0.09954346925328372,2018-08-07
0.14325866793025566,0.10028672834758301,2018-08-08
0.15225025010994608,0.10894034175693568,2018-08-09
0.14881816068208442,0.10563725510305111,2018-08-10
0.1562359400270421,0.11277622058480308,2018-08-13
0.1611073597271464,0.11746453705647197,2018-08-14
0.16381986705397833,0.12007508871549577,2018-08-15
0.1808697502014125,0.13648411378850178,2018-08-16
0.20445168844647044,0.15917967202706174,2018-08-17
0.19271608989064326,0.14788518224762415,2018-08-20
0.19504569123033133,0.1456475147860401,2018-08-21
0.1951013199866496,0.14570084408289818,2018-08-22
0.19754655115921915,0.14804499965493112,2018-08-23
0.2012699488719345,0.15161448772340913,2018-08-24
0.2111619643552991,0.16109760877719403,2018-08-27
0.2209428168004386,0.17047416180649866,2018-08-28
0.23917081531134765,0.1879486913134394,2018-08-29
0.2505633345259446,0.19887029156783442,2018-08-30
0.26501239548491284,0.21272208895107236,2018-08-31
0.26906921562448205,0.2166112171617658,2018-09-04
0.26078877799348144,0.20867305809143755,2018-09-05
0.23983774908214928,0.18858805683950486,2018-09-06
0.2499223023474344,0.1789983571060345,2018-09-07
0.2669253273732579,0.16317537358983825,2018-09-10
0.29895680637632016,0.19258375840228048,2018-09-11
0.28282502828394307,0.1777730299371918,2018-09-12
0.31381196267419265,0.20622240908135292,2018-09-13
0.29889872034869813,0.19253042910542306,2018-09-14
0.3344294001060708,0.16077796863497862,2018-09-17
0.3366342586199955,0.16269590538511136,2018-09-18
0.3358385948783813,0.1633884403799717,2018-09-19
0.34599336642038026,0.1722322811493251,2018-09-20
0.3314953544995174,0.15960589084896193,2018-09-21
0.35064249102688083,0.17628122676732572,2018-09-24
0.35920679060190763,0.18373991763292685,2018-09-25
0.3483791141334025,0.17431004063436628,2018-09-26
0.37609055635311073,0.19844407274593379,2018-09-27
0.3809232861274674,0.2026529210128749,2018-09-28
0.39022154757510497,0.21075082290408154,2018-10-01
0.40257855342203364,0.22151260042356768,2018-10-02
0.41964591822377506,0.23637665285791276,2018-10-03
0.3946872505332748,0.214640025701204,2018-10-04
0.3720531023248046,0.1949278340602829,2018-10-05
0.3688721645081765,0.1921575395803803,2018-10-08
0.38783579374476496,0.20867305809143755,2018-10-09
0.4552518863581254,0.15267999215734296,2018-10-10
0.44240507127629614,0.14250425086706464,2018-10-11
0.4939267722329843,0.18331370413862946,2018-10-12
0.46197795346679627,0.15800759424104482,2018-10-15
0.4941957678348612,0.18352677092876268,2018-10-16
0.48773879721907365,0.1784123155492252,2018-10-17
0.4529650437193786,0.15086862343169072,2018-10-18
0.47509376415050353,0.16839640232145725,2018-10-19
